region_id,cgfr_5,cgfr_10,cgfr_25,cgfr_50,cgfr_75,cgfr_100,cgfr_125,cgfr_150,cgfr_175,cgfr_200
KG,0.3916,0.3827,0.4047,0.4492,0.4773,0.4958,0.5087,0.518,0.525,0.5303
SS,0.4909,0.487,0.5071,0.5433,0.5707,0.5925,0.6105,0.6259,0.6393,0.6512
US,0.6226,0.5871,0.5739,0.5785,0.5867,0.5959,0.6051,0.6139,0.6223,0.63
NG,0.5485,0.5441,0.5599,0.5952,0.6237,0.6469,0.6662,0.6827,0.697,0.7097
CR,0.726,0.6984,0.6816,0.6819,0.6908,0.7025,0.7152,0.7279,0.7403,0.7522
MV,0.4691,0.4316,0.4083,0.4017,0.4027,0.4065,0.4114,0.4168,0.4222,0.4277
GR,0.4935,0.4728,0.4592,0.4614,0.4693,0.4783,0.4873,0.4958,0.5038,0.5113
JO,0.3021,0.2691,0.2236,0.1897,0.1718,0.1609,0.1537,0.1485,0.1448,0.142
DM,,,,,,,,,,
TR,0.2893,0.2584,0.2269,0.2069,0.1982,0.1941,0.1921,0.1911,0.1907,0.1906
RW,0.7353,0.7602,0.82,0.8938,0.9463,0.9873,1.021,1.0495,1.0746,1.0975
PY,0.7172,0.6856,0.6674,0.6788,0.7001,0.7232,0.7462,0.7681,0.7888,0.8082
MA,0.3533,0.3547,0.3679,0.3901,0.4076,0.4216,0.433,0.4425,0.4503,0.4568
DJ,0.5911,0.6352,0.7501,0.9028,1.0143,1.101,1.1721,1.2309,1.2802,1.3214
ID,0.5015,0.4939,0.5194,0.5697,0.6114,0.6464,0.6765,0.7028,0.7263,0.7475
TJ,0.2328,0.232,0.2432,0.2608,0.2708,0.2772,0.2817,0.2849,0.2873,0.289
TZ,0.6308,0.6384,0.6722,0.724,0.7616,0.7906,0.8138,0.8332,0.8499,0.8646
SO,0.5726,0.602,0.6718,0.7608,0.822,0.8678,0.9039,0.9337,0.9588,0.9807
MW,0.5497,0.5469,0.5652,0.6003,0.6281,0.6509,0.6698,0.6859,0.6998,0.712
CI,0.5303,0.5472,0.5965,0.6601,0.7016,0.7315,0.7545,0.7731,0.7886,0.802
FM,0.6247,0.6134,0.6233,0.6507,0.673,0.6906,0.705,0.7169,0.7273,0.736
CA,0.5784,0.5396,0.5286,0.5338,0.5403,0.5471,0.5538,0.5603,0.5663,0.5718
MM,0.6326,0.6295,0.6554,0.6991,0.7306,0.755,0.7748,0.7912,0.805,0.8169
SV,0.7328,0.7088,0.7041,0.726,0.7489,0.7689,0.7863,0.8013,0.8144,0.8259
AL,0.4564,0.4171,0.3761,0.3523,0.3448,0.3429,0.343,0.344,0.345,0.3461
HR,0.471,0.4446,0.4266,0.4295,0.4398,0.4512,0.4623,0.4726,0.4818,0.4901
HN,0.7416,0.7273,0.7364,0.7721,0.8052,0.8338,0.8584,0.8797,0.8982,0.9146
BN,0.4854,0.4671,0.4726,0.5004,0.5257,0.5478,0.5663,0.582,0.5954,0.6068
MD,0.5696,0.5204,0.4829,0.4734,0.4773,0.484,0.4909,0.4973,0.5029,0.5079
DO,0.6956,0.6902,0.7085,0.7524,0.7922,0.8268,0.8569,0.8832,0.9063,0.9269
ZM,0.5625,0.5622,0.5848,0.6251,0.6592,0.6881,0.7133,0.7354,0.755,0.7727
ES,0.5865,0.5605,0.5418,0.5461,0.5586,0.5713,0.5826,0.5923,0.6005,0.6074
BY,0.497,0.4964,0.5395,0.5979,0.624,0.6376,0.6456,0.6506,0.654,0.6564
IQ,0.1896,0.1771,0.1608,0.1482,0.1417,0.1379,0.1355,0.1339,0.1328,0.132
BD,0.443,0.4332,0.4376,0.454,0.4663,0.4758,0.4835,0.49,0.4956,0.5005
LC,0.6786,0.6758,0.6967,0.7403,0.7771,0.8068,0.8314,0.8526,0.8715,0.8877
LY,0.181,0.1661,0.1457,0.1322,0.1259,0.1221,0.1197,0.118,0.1168,0.1159
LA,0.5722,0.5628,0.5864,0.63,0.6639,0.6916,0.7156,0.7367,0.7557,0.7729
BF,0.4292,0.4288,0.4504,0.4877,0.5132,0.5318,0.5459,0.5571,0.5663,0.574
LT,0.5394,0.4995,0.4686,0.4645,0.4705,0.4783,0.486,0.4933,0.5,0.5059
ML,0.3598,0.3803,0.4347,0.5055,0.5487,0.579,0.6022,0.621,0.6368,0.6504
TN,0.4542,0.4224,0.387,0.3674,0.3601,0.3571,0.3561,0.3561,0.3566,0.3575
GW,0.445,0.4559,0.49,0.5388,0.5741,0.6011,0.6223,0.6394,0.6533,0.665
MC,,,,,,,,,,
EC,0.7541,0.7366,0.7398,0.765,0.7921,0.8175,0.8405,0.8611,0.8796,0.8962
AZ,0.2298,0.2241,0.2248,0.2321,0.238,0.2424,0.2458,0.2484,0.2505,0.2521
GE,0.5647,0.5281,0.5043,0.4931,0.4881,0.4863,0.4864,0.4874,0.489,0.4909
NI,0.74,0.7267,0.7353,0.7702,0.8024,0.8296,0.8525,0.872,0.8887,0.9034
SK,0.5481,0.5204,0.5018,0.5036,0.5122,0.5216,0.5307,0.539,0.5465,0.5531
KH,0.6335,0.6215,0.638,0.6767,0.7076,0.7325,0.7534,0.7717,0.7882,0.8032
FI,0.4991,0.4642,0.4407,0.4396,0.446,0.4539,0.4617,0.4689,0.4753,0.4808
NZ,0.5685,0.5187,0.4939,0.4917,0.4953,0.5002,0.5053,0.5102,0.5148,0.5189
MK,0.4148,0.3791,0.3602,0.3526,0.3505,0.3512,0.3532,0.3559,0.359,0.3623
PE,0.7129,0.6982,0.701,0.7272,0.7553,0.7812,0.8042,0.8245,0.8424,0.8582
TL,0.6226,0.6356,0.688,0.7607,0.8173,0.8629,0.9008,0.9331,0.9614,0.9868
GT,0.6851,0.6699,0.6778,0.7114,0.7418,0.7676,0.7895,0.8083,0.8247,0.839
UG,0.6405,0.6649,0.7347,0.8234,0.8833,0.9299,0.9696,1.0049,1.0369,1.066
EE,0.5426,0.5057,0.4804,0.4799,0.4865,0.4938,0.5009,0.5074,0.5132,0.5185
BS,0.6006,0.606,0.6375,0.684,0.7211,0.7521,0.7789,0.8023,0.8229,0.8416
CZ,0.57,0.5453,0.535,0.5457,0.5594,0.572,0.583,0.5924,0.6004,0.6071
QA,0.1888,0.1737,0.1706,0.1767,0.1818,0.1857,0.1884,0.1904,0.1919,0.1931
TO,0.629,0.5954,0.5786,0.5928,0.613,0.6328,0.651,0.668,0.6833,0.6976
CY,0.4739,0.4415,0.4144,0.406,0.4078,0.4129,0.4192,0.4259,0.4325,0.4388
CM,0.6798,0.6764,0.6925,0.7289,0.7586,0.7823,0.8017,0.8177,0.8314,0.8435
LR,0.6834,0.6854,0.7112,0.7521,0.7827,0.8068,0.8265,0.843,0.8572,0.8695
DE,0.5596,0.5359,0.5264,0.5381,0.553,0.5665,0.5779,0.5874,0.5952,0.6016
ER,0.4388,0.4734,0.5046,0.5252,0.5342,0.5405,0.5416,0.5406,0.5397,0.5403
BT,0.6307,0.6018,0.5957,0.6198,0.6452,0.6684,0.689,0.7073,0.7236,0.7381
WS,0.6967,0.6737,0.6781,0.7065,0.7335,0.7576,0.7788,0.797,0.8132,0.8275
PH,0.6499,0.615,0.6072,0.6278,0.6477,0.6651,0.6806,0.6947,0.7079,0.7201
PA,0.8271,0.8276,0.8587,0.9105,0.9534,0.9902,1.0215,1.0483,1.0713,1.0911
MR,0.4692,0.4936,0.5513,0.6168,0.6581,0.6874,0.7098,0.7279,0.7429,0.7557
IT,0.5513,0.519,0.4932,0.488,0.4938,0.5028,0.5127,0.5224,0.5316,0.5403
ST,0.7965,0.7958,0.8367,0.9094,0.9639,1.005,1.0364,1.062,1.0829,1.1006
AO,0.5173,0.5392,0.6017,0.6835,0.7468,0.7987,0.8432,0.8823,0.9175,0.9496
VE,0.7605,0.7554,0.7705,0.8018,0.8311,0.8575,0.8812,0.9027,0.922,0.9395
SL,0.5882,0.5967,0.6345,0.6955,0.7417,0.7769,0.8042,0.826,0.8437,0.8586
